001, true, false, true, false, 
002, false, false, false, false, 
003, false, false, false, false, 
004, false, false, false, false, 
005, false, false, false, false, 
006, false, false, false, false, 
007, false, false, false, false, 
008, true, false, true, false, 
009, true, false, true, false, 
010, false, false, false, false, 
011, false, false, false, false, 
012, false, false, false, false, 
013, false, false, false, false, 
014, true, true, false, false, 
015, false, false, false, false, 
016, false, false, false, false, 
017, true, true, false, false, 
018, true, true, false, false, 
019, true, true, false, false, 
020, false, false, false, false, 
021, false, false, false, false, 
022, true, true, false, false, 
023, true, false, true, false, 
024, true, false, true, false, 
025, false, false, false, false, 
026, true, false, true, false, 
027, false, false, false, false, 
028, false, false, false, false, 
029, false, false, false, false, 
030, false, false, false, false, 
031, false, false, false, false, 
032, false, false, false, false, 
033, false, false, false, false, 
034, true, true, false, false, 
035, false, false, false, false, 
036, false, false, false, false, 
037, true, false, true, false, 
038, true, false, true, false, 
039, false, false, false, false, 
040, true, false, true, false, 
041, false, false, false, false, 
042, false, false, false, false, 
043, true, true, false, false, 
044, false, false, false, false, 
045, true, false, true, false, 
046, false, false, false, false, 
047, true, false, true, false, 
048, false, false, false, false, 
049, true, false, true, false, 
050, false, false, false, false, 
051, true, false, true, false, 
052, false, false, false, false, 
053, false, false, false, false, 
054, true, true, false, false, 
055, true, true, false, false, 
056, true, false, true, false, 
057, true, true, false, false, 
058, true, true, false, false, 
059, true, true, true, false, 
060, false, false, false, false, 
061, false, false, false, false, 
062, false, false, false, false, 
063, false, false, false, false, 
064, false, false, false, false, 
065, false, false, false, false, 
066, true, false, true, false, 
067, false, false, false, false, 
068, true, false, true, false, 
069, true, true, false, false, 
070, true, true, false, false, 
071, false, false, false, false, 
072, false, false, false, false, 
073, false, false, false, false, 
074, true, false, true, false, 
075, false, false, false, false, 
076, false, false, false, false, 
077, true, false, true, false, 
078, false, false, false, false, 
079, true, false, true, false, 
080, false, false, false, false, 
081, true, false, true, false, 
082, true, false, true, false, 
083, true, false, true, false, 
084, true, false, true, false, 
085, false, false, false, false, 
086, false, false, false, false, 
087, false, false, false, false, 
088, true, true, false, false, 
089, true, true, false, false, 
090, false, false, false, false, 
091, false, false, false, false, 
092, true, false, true, false, 
093, false, false, false, false, 
094, false, false, false, false, 
095, false, false, false, false, 
096, false, false, false, false, 
097, false, false, false, false, 
098, false, false, false, false, 
099, false, false, false, false, 
100, false, false, false, false, 
101, false, false, false, false, 
102, true, false, true, false, 
103, false, false, false, false, 
104, false, false, false, false, 
105, false, false, false, false, 
106, true, false, true, false, 
107, false, false, false, false, 
108, false, false, false, false, 
109, false, false, false, false, 
